epoch,price
1736838032.105907,3181.25000
1736838032.105907,3181.77000
1736838032.105907,3181.82000
1736838032.105907,3181.98000
1736838032.105907,3181.99000
1736838032.105907,3182.05000
1736838032.105907,3182.12000
1736838032.105907,3182.30000
1736838040.037256,3182.38000
1736838052.494132,3182.38000
1736838052.494133,3182.39000
1736838052.494133,3182.54000
1736838052.494133,3182.55000
1736838052.494133,3182.58000
1736838052.494133,3182.68000
1736838076.644935,3182.69000
1736838076.644935,3182.79000
1736838076.644935,3182.97000
1736838076.644935,3182.99000
1736838076.644935,3183.06000
1736838076.644935,3183.31000
1736838076.644935,3183.40000
1736838076.644935,3183.58000
1736838076.644935,3183.65000
1736838076.644935,3183.66000
1736838076.644935,3183.69000
1736838076.644935,3183.79000
1736838095.622267,3183.85000
1736838205.491025,3181.24000
1736838205.491025,3181.24000
1736838205.491025,3181.24000
1736838207.122719,3181.24000
1736838207.131949,3181.24000
1736838207.131949,3181.24000
1736838207.142041,3181.24000
1736838210.728875,3181.25000
1736838243.598779,3181.25000
1736838243.611118,3181.27000
1736838243.620323,3181.27000
1736838243.651367,3181.52000
1736838244.845626,3181.99000
1736838245.247631,3182.99000
1736838245.368612,3182.99000
1736838245.683167,3182.99000
1736838245.867733,3183.12000
1736838249.280508,3183.35000
1736838250.148961,3183.36000
1736838250.148961,3183.42000
1736838253.992188,3183.42000
1736838253.992188,3183.51000
1736838254.042759,3183.65000
1736838254.042759,3183.66000
1736838276.022118,3183.91000
1736838276.022118,3183.98000
1736838276.039885,3184.27000
1736838276.053697,3184.31000
1736838276.054915,3184.37000
1736838276.089205,3184.44000
1736838276.180298,3184.54000
1736838276.187272,3185.00000
1736838276.449465,3185.25000
1736838276.449465,3185.30000
1736838276.485661,3185.83000
1736838318.837856,3186.00000
1736838323.653181,3186.00000
1736838331.531307,3186.01000
1736838331.531307,3186.01000
1736838465.426717,3186.01000
1736838468.559449,3186.00000
1736838468.559449,3186.00000
1736838468.559692,3186.00000
1736838468.559796,3186.00000
1736838468.559900,3186.00000
1736838468.559900,3186.00000
1736838470.532593,3186.01000
1736838497.647143,3186.01000
1736838526.278266,3186.01000
1736838527.429003,3186.00000
1736838562.203508,3181.60000
1736838562.203508,3181.51000
1736838613.738358,3183.32000
1736838614.604669,3183.32000
1736838640.832396,3183.11000
1736838659.670182,3183.12000
1736838748.666888,3182.07000
1736838750.859452,3182.07000
1736838774.011457,3182.07000
1736838775.434222,3182.06000
1736838788.092907,3182.07000
1736838824.354427,3182.06000
1736838824.354427,3182.00000
1736838850.438497,3182.01000
1736838884.198070,3182.00000
1736838913.379828,3182.01000
1736838952.445587,3182.00000
1736838952.445587,3182.00000
1736838976.147005,3181.05000
1736838999.517392,3180.60000
1736839007.939124,3180.49000
1736839029.125606,3180.48000
1736839029.125606,3180.47000
1736839029.125606,3180.43000
1736839029.125606,3180.21000
1736839029.125606,3180.20000
1736839029.125606,3180.16000
1736839029.125606,3180.14000
1736839059.137544,3177.83000
1736839060.979089,3177.83000
1736839060.979089,3177.09000
1736839060.979089,3177.08000
1736839117.749650,3178.03000
1736839117.749650,3178.02000
1736839122.913572,3178.44000
1736839124.882543,3178.44000
1736839148.122795,3177.84000
1736839164.643172,3177.84000
