Date,Price,Amount,Order
1737578703.412583,3266.13,0.003061727487883213,buy
1737578843.387652,3264.43,0.00306332192756469,buy
1737578843.387652,3264.43,0.00306332192756469,buy
1737578843.387652,3264.16,0.0030635753149355427,buy
1737578843.387652,3264.11,0.003063622243122934,buy
1737578843.644781,3264.13,0.003063603471675454,buy
1737578904.120428,3261.5,0.0030660738923808063,sell
1737578932.026931,3262.99,0.0030646738114428794,buy
1737578986.570299,3261.5,0.0030660738923808063,sell
1737579300.510965,3255.99,0.003071262503877469,buy
1737579454.618385,3258.71,0.00306869896370036,sell
1737579528.299342,3258.79,0.003068623630243127,buy
1737579551.452444,3258.71,0.00306869896370036,sell
1737579620.348652,3255.42,0.0030718002592599416,buy
1737579646.697425,3253.4,0.0030737075059937297,sell
1737579759.156192,3244.71,0.003081939526182617,buy
1737579770.842702,3243.66,0.0030829371759062297,sell
1737579859.213934,3242.99,0.003083574109078351,buy
1737579984.32129,3248.45,0.003078391232741769,sell
1737580185.104732,3246.43,0.0030803066753325964,buy
1737580278.579185,3244.43,0.003082205502969705,sell
1737580278.579185,3245.18,0.003081493168329646,buy
1737580499.296279,3247.29,0.003079490898564649,sell
1737580499.5852,3247.34,0.0030794434829737568,buy
1737580499.716123,3247.34,0.0030794434829737568,sell
1737580750.038581,3244.99,0.0030816735952961336,buy
1737580873.852989,3245.18,0.003081493168329646,sell
1737580909.90139,3244.1,0.0030825190345550387,buy
1737580909.90139,3243.07,0.003083498043520491,sell
1737580911.944961,3244.64,0.0030820060160757436,buy
1737581942.912226,3258.76,0.0030686518798561414,sell
1737581982.727104,3258.75,0.0030686612965093976,buy
1737582293.915105,3255.67,0.0030715643784535902,sell
