epoch,price
1734478254.950478,8.45210
1734478254.950478,8.45100
1734478254.950478,8.44920
1734478268.324090,8.45220
1734478269.108645,8.45410
1734478273.122690,8.45470
1734478284.352944,8.46250
1734478287.818521,8.46260
1734478289.110408,8.46480
1734478289.115363,8.46500
1734478301.250053,8.46380
1734478322.092176,8.45280
1734478323.364129,8.45230
1734478326.524531,8.45230
1734478336.276057,8.42940
1734478336.276057,8.42930
1734478352.498907,8.42830
1734478352.498907,8.42820
1734478370.479472,8.43740
1734478371.389174,8.43800
1734478371.738122,8.43880
1734478371.788657,8.43880
1734478372.862187,8.43880
1734478394.061190,8.43270
1734478444.792896,8.42480
1734478453.007106,8.42570
1734478453.034638,8.42640
1734478476.563195,8.42820
1734478503.689694,8.42670
1734478520.073673,8.43650
1734478520.077636,8.43760
1734478520.708875,8.43880
1734478521.087972,8.43880
1734478521.134513,8.43880
1734478522.753426,8.43880
1734478522.834145,8.43880
1734478522.850410,8.43880
1734478522.980850,8.43880
1734478522.997076,8.43880
1734478523.000086,8.43880
1734478523.168803,8.43880
1734478547.895800,8.43030
1734478547.895800,8.43020
1734478561.201033,8.43410
1734478572.042885,8.42600
1734478620.973853,8.41230
1734478659.562445,8.41500
1734478679.408942,8.41500
1734478680.459589,8.41800
1734478682.443582,8.42010
1734478685.444917,8.42330
1734478689.996175,8.42340
1734478691.436938,8.42440
1734478691.436938,8.42430
1734478693.972880,8.42650
1734478693.972880,8.42700
1734478693.974379,8.42700
1734478693.977658,8.42700
1734478693.981463,8.42700
1734478694.153409,8.42700
1734478694.180452,8.42700
1734478694.188616,8.42700
1734478694.195494,8.42700
1734478694.217367,8.42700
1734478694.221237,8.42700
1734478694.238736,8.42700
1734478694.249287,8.42700
1734478694.285496,8.42700
1734478694.293748,8.42700
1734478694.353442,8.43090
1734478694.516159,8.43530
1734478694.516159,8.43570
1734478694.679766,8.43880
1734478694.679766,8.44030
1734478694.679766,8.44110
1734478694.679766,8.44130
1734478695.108108,8.44460
1734478695.185998,8.44500
1734478695.222091,8.44510
1734478695.222272,8.44510
1734478695.257898,8.44670
1734478695.761214,8.44740
1734478695.989065,8.44900
1734478696.028478,8.44900
1734478696.048956,8.44900
1734478696.085950,8.44900
1734478696.101402,8.44900
1734478696.140309,8.44900
1734478696.236712,8.44900
1734478696.236840,8.44900
1734478696.285420,8.45350
1734478696.285420,8.45350
1734478696.309644,8.45350
1734478696.336946,8.45350
1734478696.336946,8.45360
1734478696.617558,8.45520
1734478696.943936,8.45940
1734478698.103344,8.45930
1734478699.303573,8.45920
1734478699.303902,8.45920
1734478699.310768,8.45160
1734478699.669523,8.45920
1734478699.669523,8.45950
1734478700.374615,8.46430
1734478702.403843,8.46420
1734478702.403843,8.45960
1734478703.004562,8.46420
1734478703.004562,8.45970
1734478712.190818,8.45850
1734478747.613022,8.44490
1734478747.946263,8.44030
1734478801.362623,8.44200
1734478817.328196,8.44460
1734478817.383578,8.44690
1734478817.900361,8.44880
1734478817.900362,8.44900
1734478817.943936,8.44990
1734478833.556090,8.45280
1734478843.296211,8.45360
1734478852.367575,8.45860
1734478852.367575,8.45870
1734478852.376175,8.45890
1734478854.073878,8.45940
1734478854.073878,8.45950
1734478863.107491,8.45880
1734478920.780272,8.45710
1734478923.781804,8.45840
1734478941.486805,8.45850
1734478941.486805,8.45850
1734478951.328907,8.46160
1734478951.328907,8.45970
1734478952.461356,8.46170
1734478952.461356,8.46170
1734478970.958044,8.46600
1734478980.847523,8.46880
1734478980.847523,8.46890
1734478988.024279,8.46920
1734479042.883036,8.46920
1734479047.099255,8.46930
1734479047.329974,8.46930
1734479047.351324,8.46940
1734479047.351324,8.46950
1734479047.351324,8.46960
1734479048.150406,8.46990
1734479054.007256,8.47430
1734479104.082837,8.47560
1734489373.037890,8.46890
1734489429.764204,8.45610
1734489457.055165,8.44380
1734489463.164682,8.43780
1734489483.719760,8.44940
1734489540.515426,8.44950
1734489541.525240,8.44930
1734489541.525240,8.44930
1734489606.107882,8.45220
1734489606.107882,8.45220
1734489614.522586,8.45150
1734489663.969714,8.44090
1734489666.893784,8.43900
1734489666.893784,8.43480
1734489720.373987,8.44540
1734489720.373987,8.44630
1734489745.632420,8.44840
1734489790.671601,8.44800
1734489825.162869,8.44860
1734489825.162869,8.44860
1734489840.801127,8.44870
1734489844.040311,8.44860
1734489900.392662,8.44990
1734489900.392662,8.44990
1734489900.392662,8.44990
1734489900.392662,8.44990
1734489900.392662,8.44990
1734489907.420506,8.45000
1734489909.890136,8.45000
1734489909.900554,8.45000
1734489910.754760,8.45000
1734489911.617593,8.45000
1734489911.711495,8.45000
1734489911.721581,8.45000
1734489911.772094,8.45000
1734489911.775314,8.45000
1734489911.776432,8.45000
1734489922.447798,8.45000
1734489922.457082,8.45000
1734489922.528077,8.45000
1734489922.532145,8.45000
1734489922.538694,8.45000
1734489922.538774,8.45000
1734489922.538846,8.45000
1734489922.541627,8.45000
1734489922.547200,8.45000
1734489922.561848,8.45000
1734489922.562251,8.45000
1734489922.567665,8.45000
1734489922.568700,8.45000
1734489922.572907,8.45000
1734489922.586500,8.45000
1734489922.592210,8.45000
1734489922.599550,8.45000
1734489922.602389,8.45000
1734489922.619131,8.45000
1734489922.626794,8.45000
1734489922.627460,8.45000
1734489922.627621,8.45000
1734489922.628261,8.45000
1734489922.633292,8.45000
1734489922.638606,8.45070
1734489922.680709,8.45070
1734489922.749566,8.45310
1734489922.831445,8.45480
1734489922.904827,8.45490
1734489927.812275,8.45670
1734489927.871542,8.45680
1734489929.373165,8.45770
1734489934.086669,8.46720
1734489969.442387,8.46590
1734489996.502234,8.46810
1734489996.502234,8.46730
1734490023.044808,8.46100
1734490067.530090,8.44860
1734490067.530721,8.44860
1734490067.532302,8.44860
1734490067.532351,8.44860
1734490067.532443,8.44860
1734490067.533577,8.44860
1734490067.533952,8.44860
1734490067.534424,8.44860
1734490067.795826,8.44860
1734490095.770133,8.43950
1734490097.048858,8.43550
1734490105.933850,8.43740
1734490111.347878,8.43740
1734490146.841746,8.44200
1734490193.086909,8.44000
1734490193.086909,8.44000
1734490193.086909,8.43990
1734490193.086909,8.43990
1734490204.123771,8.43970
1734498241.950482,8.23550
1734498246.718170,8.23650
1734498250.206063,8.22550
1734498250.206063,8.22470
1734498269.823250,8.23380
1734498269.823250,8.23460
1734498269.823250,8.23470
1734498269.823250,8.23490
1734498270.389355,8.22980
1734498270.389355,8.22910
1734498306.871524,8.21890
1734498354.820976,8.21470
1734498354.820976,8.21470
1734498354.820976,8.21660
1734498354.820976,8.21670
1734498371.652996,8.21720
1734498371.658003,8.21720
1734498371.909535,8.21720
1734498374.762916,8.21720
1734498374.763113,8.21720
1734498374.915288,8.21720
1734498374.916437,8.21720
1734498374.917671,8.21720
1734498374.917740,8.21720
1734498374.925483,8.21850
1734498374.925483,8.21910
1734498388.348826,8.22620
1734498395.241873,8.23110
1734498395.373091,8.23300
1734498400.985718,8.24030
1734498431.502329,8.21710
1734498439.642167,8.22670
1734498439.642167,8.22750
1734498441.831330,8.22200
1734498441.831330,8.22200
1734498441.831330,8.22120
1734498441.831331,8.22120
1734498441.831331,8.22110
1734498441.831331,8.22030
1734498482.990633,8.22300
1734498524.745190,8.20750
1734498524.745190,8.20760
1734498528.678219,8.20820
1734498533.640878,8.20980
1734498573.494994,8.20970
1734498605.116317,8.21110
1734498617.213677,8.21120
1734498617.213677,8.21130
1734498617.213677,8.21300
1734498617.213677,8.21300
1734498617.213677,8.21370
1734498617.213677,8.21420
1734498617.213677,8.21490
1734498624.248927,8.21110
1734498624.248927,8.20490
1734498663.197580,8.20720
1734498708.160402,8.21240
1734498708.160402,8.21250
1734498708.160402,8.21340
1734498739.487863,8.21590
1734498740.997032,8.21600
1734498740.997032,8.21610
1734498740.997032,8.21620
1734498740.997032,8.21650
1734498742.246730,8.21680
1734498742.264029,8.21910
1734498742.314033,8.22030
1734498742.465035,8.21690
1734498742.520621,8.22170
1734498749.164336,8.22140
1734498755.887757,8.22900
1734498757.156203,8.23060
1734498761.502895,8.23130
1734498761.502895,8.23380
1734498794.122552,8.24080
1734498800.553609,8.24080
1734498800.553609,8.24090
1734498800.553609,8.24140
1734498800.553609,8.24220
1734498800.553609,8.24270
1734498800.553609,8.24330
1734498800.553609,8.24340
1734498800.553609,8.24350
1734498800.553609,8.24360
1734498823.170784,8.24550
1734498842.413589,8.24360
1734498890.816539,8.24360
1734498921.401641,8.24370
1734498929.140332,8.24370
1734498933.418791,8.24360
1734498959.032036,8.24380
1734498959.032036,8.24460
1734498960.202679,8.24480
1734498960.202679,8.24560
1734498960.664120,8.24590
