epoch,price
1737445238.429642,2.981490
1737445932.958620,2.967640
1737447379.528343,2.969730
1737451934.089462,2.964050
1737453161.027804,2.977560
1737453787.412338,3.000990
1737453787.412338,3.001290
1737453787.412338,3.006110
1737453787.412338,3.006120
1737454220.469500,3.011460
1737454284.387732,3.019320
1737454329.538989,3.034550
1737454356.555147,3.041900
1737454388.607172,3.050740
1737454401.608589,3.062170
1737454405.671199,3.048000
1737454408.677018,3.025150
1737454875.769973,3.031150
1737455225.181256,3.030610
1737456023.245091,3.043290
1737456726.810198,3.033440
1737456726.810198,3.033430
1737456726.810198,3.033430
1737457239.197743,3.022320
1737458018.145818,3.026910
1737458609.234711,3.027660
1737458813.239199,3.026920
1737458846.053269,3.034000
1737460174.520199,3.032920
1737460733.087185,3.050560
1737460810.899606,3.052310
1737461304.660230,3.045940
1737461508.114818,3.050960
1737461750.852464,3.063060
1737461863.989877,3.067340
1737462155.687330,3.079900
1737463821.941087,3.062970
1737466302.281324,3.055350
1737466541.618748,3.059170
1737471094.904317,3.041770
1737471208.816857,3.046330
1737471304.520573,3.046320
1737471305.314518,3.046320
1737471305.914852,3.046320
1737471407.861303,3.046500
1737472183.427683,3.039240
1737473605.399565,3.051450
1737475655.564564,3.063230
1737475656.496230,3.063230
1737475900.225138,3.092060
1737476090.841482,3.103970
1737476511.941186,3.113110
