epoch,price
1734678027.986460,0.358162
1734678028.389307,0.340635
1734678028.392466,0.340635
1734678029.388560,0.340641
1734678029.401714,0.340641
1734678030.402409,0.340643
1734678030.402538,0.340643
1734678031.391130,0.340650
1734678031.398292,0.340650
1734678032.391091,0.340655
1734678032.398212,0.340655
1734678032.443975,0.358162
1734678032.446748,0.358162
1734678033.407652,0.358162
1734678033.411672,0.358162
1734678033.447849,0.344152
1734678033.447849,0.358163
1734678034.138460,0.361746
1734678034.138460,0.361745
1734678034.411513,0.361745
1734678034.918632,0.361745
1734678035.400667,0.361745
1734678035.408645,0.361745
1734678035.458245,0.361745
1734678035.461275,0.361745
1734678035.709209,0.361745
1734678035.973440,0.361745
1734678036.224675,0.361745
1734678036.224675,0.361745
1734678036.224675,0.361745
1734678036.390943,0.361745
1734678036.434863,0.361745
1734678036.517350,0.361745
1734678036.517351,0.361745
1734678036.744328,0.361745
1734678036.996343,0.361745
1734678037.298821,0.361745
1734678037.298821,0.361745
1734678037.392869,0.361745
1734678037.408599,0.361745
1734678038.390506,0.361745
1734678038.401850,0.361745
1734678038.539790,0.361745
1734678038.617616,0.361745
1734678039.194498,0.361745
1734678039.194498,0.361745
1734678039.194498,0.361745
1734678039.194895,0.361745
1734678039.194895,0.361745
1734678039.421207,0.344762
1734678039.534952,0.344782
1734678040.420493,0.344690
1734678040.420493,0.344821
1734678041.391088,0.340663
1734678041.400293,0.340663
1734678042.386644,0.340665
1734678042.407337,0.340665
1734678044.077360,0.360450
1734678044.078373,0.360450
1734678044.386328,0.340669
1734678044.388814,0.340669
1734678047.389526,0.340674
1734678047.409105,0.340674
1734678047.822983,0.363216
1734678047.822983,0.363236
1734678047.831544,0.363236
1734678047.831544,0.363238
1734678047.831544,0.363244
1734678050.387569,0.340684
1734678050.391145,0.340684
1734678053.395127,0.340694
1734678053.407066,0.340694
1734678056.391500,0.340705
1734678056.399506,0.340705
1734678060.396118,0.340718
1734678060.535357,0.340718
1734678063.399869,0.340722
1734678063.406007,0.340722
1734678066.389521,0.340727
1734678066.398385,0.340727
1734678069.386478,0.340733
1734678069.388072,0.340733
1734678072.391249,0.340737
1734678072.391911,0.340737
1734678074.334183,0.359662
1734678074.334183,0.359663
1734678074.404543,0.359663
1734678074.879086,0.359663
1734678075.391841,0.341966
1734678075.403634,0.341966
1734678078.392182,0.342895
1734678078.395289,0.342895
1734678081.387826,0.343210
1734678081.393386,0.343210
1734678085.390467,0.344482
1734678085.402988,0.344482
1734678088.398652,0.345452
1734678088.402718,0.345452
1734678091.397342,0.345777
1734678091.398527,0.345777
1734678094.395133,0.345452
1734678094.397657,0.344538
1734678094.410478,0.344769
1734678094.419909,0.344485
1734678098.398265,0.345810
1734678098.404858,0.345810
1734678101.390920,0.344820
1734678101.397673,0.344820
1734678104.389121,0.344821
1734678104.397001,0.344821
1734678107.401889,0.344820
1734678107.402751,0.344820
1734678110.392643,0.344819
1734678110.394473,0.344819
1734678114.392167,0.344822
1734678114.394107,0.344822
1734678117.387727,0.344824
1734678117.394533,0.344824
1734678120.399112,0.344822
1734678120.410910,0.344823
1734678123.393914,0.346221
1734678123.395335,0.346221
1734678126.397211,0.345876
1734678126.404302,0.345876
1734678129.389149,0.346582
1734678129.392013,0.346583
1734678132.396986,0.345530
1734678132.400143,0.345530
1734678135.394224,0.346600
1734678135.539724,0.346600
1734678139.393963,0.346246
1734678139.396126,0.346246
1734678142.388073,0.345889
1734678142.389149,0.345889
1734678145.394705,0.346611
1734678145.602919,0.346611
1734678148.401995,0.345890
1734678148.406082,0.345890
1734678151.387624,0.346617
1734678151.388007,0.346617
1734678154.396698,0.345890
1734678154.401400,0.345890
1734678157.391971,0.345894
1734678157.393410,0.345894
1734678160.393657,0.345894
1734678160.396211,0.345894
1734678160.510658,0.355987
1734678161.460549,0.355986
1734678163.397846,0.346634
1734678163.405249,0.346634
1734678167.394960,0.346639
1734678167.397452,0.346639
1734678170.389025,0.346640
1734678170.396147,0.346640
1734678173.396976,0.346642
1734678173.397631,0.346642
1734678176.385834,0.346646
1734678176.391272,0.346646
1734678179.393607,0.346647
1734678179.398158,0.346647
1734678182.394486,0.347402
1734678182.401096,0.347402
1734678185.390148,0.347781
1734678185.392847,0.347781
1734678186.819115,0.352839
1734678187.071395,0.352838
1734678187.071395,0.352839
1734678187.340554,0.352839
1734678188.409250,0.347403
1734678188.416069,0.347403
1734678188.660490,0.353525
1734678191.395257,0.347026
1734678191.404239,0.347026
1734678195.396740,0.347944
1734678195.399455,0.347944
1734678198.391386,0.347946
1734678198.402741,0.347946
1734678201.395116,0.347947
1734678201.396950,0.347947
1734678204.395411,0.347947
1734678204.395968,0.347947
1734678207.389674,0.347947
1734678207.419802,0.347947
1734678210.397262,0.347947
1734678210.399285,0.347947
1734678213.398477,0.347947
1734678213.398612,0.347947
1734678216.395143,0.347947
1734678216.397280,0.347947
1734678220.400990,0.347948
1734678220.453494,0.347948
1734678222.813293,0.352287
1734678223.393583,0.347948
1734678223.404147,0.347948
1734678226.396561,0.347948
1734678226.397268,0.347948
1734678228.168393,0.352054
1734678228.190481,0.351877
1734678229.393875,0.347949
1734678229.397570,0.347949
1734678232.395822,0.347949
1734678232.396790,0.347949
1734678235.388216,0.347949
1734678235.401886,0.347949
1734678238.394409,0.347949
1734678238.428919,0.347949
1734678239.852419,0.351353
1734678239.852419,0.353403
1734678241.393517,0.347950
1734678241.398752,0.347950
1734678244.397674,0.347225
1734678244.400510,0.347225
1734678248.394505,0.346966
1734678248.395328,0.346966
1734678251.399263,0.346966
1734678251.406301,0.346966
1734678254.394283,0.346966
1734678254.451078,0.346966
1734678257.402798,0.346966
1734678257.408269,0.346966
1734678260.397568,0.346966
1734678260.406914,0.346966
1734678263.394205,0.346967
1734678263.396524,0.346967
