epoch,price
1736578847.267143,0.920985
1736578879.818936,0.920985
1736578890.898923,0.920986
1736578890.901575,0.920986
1736578890.906910,0.920986
1736578899.442466,0.921374
1736578901.544842,0.921441
1736578901.548206,0.921441
1736578901.551835,0.921441
1736578901.551835,0.921451
1736578901.646430,0.921461
1736578917.084058,0.921711
1736578917.084433,0.921711
1736578917.086828,0.921711
1736578917.086828,0.921833
1736578917.086828,0.921834
1736578925.599183,0.921881
1736578925.600055,0.921881
1736578925.929195,0.921881
1736578932.460019,0.922131
1736578932.460019,0.922172
1736578932.460911,0.922172
1736578940.198408,0.922171
1736578986.600846,0.922160
1736578996.038031,0.922031
1736579065.661713,0.922172
1736579065.661713,0.922180
1736579065.661713,0.922181
1736579065.661713,0.922195
1736579078.117069,0.922213
1736579078.117070,0.922420
1736579081.295827,0.922491
1736579099.305068,0.922586
1736579099.305068,0.922616
1736579099.305068,0.922719
1736579099.305068,0.922747
1736579099.305068,0.922807
1736579099.305068,0.922865
1736579099.305068,0.922928
1736579099.305068,0.922941
1736579099.305068,0.922946
1736579099.305068,0.923000
1736579099.305068,0.923010
1736579099.305068,0.923071
1736579113.229604,0.923071
1736579235.283285,0.921967
1736579252.454469,0.921831
1736579255.857925,0.921829
1736579284.231250,0.922521
1736579290.321379,0.922522
1736579326.692670,0.922522
1736579362.255160,0.922522
1736579362.270106,0.922698
1736579362.270106,0.922808
1736579373.050405,0.922889
1736579374.182862,0.922895
1736579374.227950,0.922973
1736579374.227950,0.922978
1736579374.305238,0.923000
1736579374.362242,0.923136
1736579374.362242,0.923210
1736579374.362242,0.923219
1736579453.365935,0.923307
1736579514.714685,0.923344
1736579514.714685,0.923345
1736579517.565902,0.923144
1736579638.469318,0.923352
1736579638.694422,0.923352
1736579643.732048,0.923359
1736579643.798504,0.923417
1736579649.988351,0.923577
1736579649.988351,0.923591
1736579650.441429,0.923591
1736579802.865136,0.921184
1736579818.299008,0.921136
1736579818.299008,0.921135
1736579882.399308,0.922323
1736579882.399308,0.922324
1736579882.399308,0.922326
1736579988.431460,0.920677
1736579999.216137,0.920657
1736579999.216137,0.920656
1736580110.266279,0.921179
1736580185.718606,0.919899
1736580331.157939,0.919941
1736580331.157939,0.920346
1736580331.157939,0.920435
1736580331.157939,0.920587
1736580331.157939,0.920588
1736580407.469317,0.919215
1736580528.565177,0.919214
1736580528.565177,0.919082
1736580528.565177,0.919038
1736580528.565177,0.918930
1736580528.565177,0.918860
1736580608.555380,0.918803
1736580754.654883,0.918446
1736580754.654883,0.918257
1736580754.654883,0.918107
1736580799.562442,0.918448
1736580898.380696,0.918448
1736580898.380696,0.918449
1736580898.545817,0.918684
1736580901.782455,0.918991
1736580908.130503,0.919217
1736581163.353418,0.919309
1736581236.930217,0.919312
1736581236.930217,0.919313
1736581478.756477,0.918107
1736581511.149090,0.917880
1736581511.149090,0.917881
1736581590.534299,0.916877
1736581590.543204,0.916877
1736581590.626309,0.916609
1736581590.630418,0.916588
1736581590.652208,0.916539
1736581644.121035,0.916512
1736581735.429279,0.917056
1736581735.429280,0.916814
1736581832.530572,0.917742
1736581832.530572,0.917759
1736582021.482271,0.918133
1736582021.482271,0.918154
1736582202.779447,0.918264
1736582207.230395,0.918314
1736582207.230395,0.918316
1736582262.012334,0.919013
1736582262.012334,0.919045
1736582262.012334,0.919116
1736582306.993744,0.918793
1736582306.993744,0.918792
1736582306.993744,0.918771
1736582306.993744,0.918771
1736582306.993744,0.918771
1736582306.993744,0.918689
1736582306.993744,0.918626
1736582306.993744,0.918493
1736582306.993744,0.918490
1736582306.993744,0.918487
1736582338.783415,0.919075
1736582407.661947,0.919116
1736582407.661947,0.919230
1736582415.887828,0.919230
1736582415.887828,0.919250
1736582416.000742,0.919324
1736582416.014691,0.919396
1736582416.058801,0.919420
1736582416.058801,0.919423
1736582416.065566,0.919428
1736582416.065566,0.919438
1736582416.065566,0.919458
1736582417.279479,0.919475
1736582417.279479,0.919486
1736582421.472412,0.919710
1736582421.861027,0.919710
1736582421.861027,0.919711
1736582426.981142,0.919851
1736582429.295733,0.919999
