epoch,price
1737270057.362338,3.19679000
1737270057.738669,3.19691000
1737270061.199410,3.19673000
1737270061.760512,3.19652000
1737270062.261665,3.19601000
1737270062.993091,3.19601000
1737270066.375716,3.19640000
1737270077.451230,3.19672000
1737270079.785019,3.19674000
1737270079.785019,3.19682000
1737270083.818735,3.19609000
1737270083.818735,3.19591000
1737270092.089299,3.19596000
1737270092.089299,3.19595000
1737270096.060442,3.19625000
1737270096.060442,3.19624000
1737270098.647733,3.19602000
1737270098.647733,3.19601000
1737270101.468732,3.19619000
1737270101.468732,3.19619000
1737270101.468733,3.19587000
1737270104.336072,3.19695000
1737270106.724791,3.19743000
1737270108.633993,3.19682000
1737270108.633993,3.19681000
1737270110.385569,3.19716000
1737270110.385569,3.19715000
1737270118.836599,3.19736000
1737270118.836599,3.19737000
1737270123.038371,3.19794000
1737270123.038371,3.19815000
1737270134.324673,3.19840000
1737270134.478220,3.19841000
1737270134.478220,3.19942000
1737270134.478220,3.19943000
1737270134.478220,3.19950000
1737270145.332741,3.19935000
1737270149.031801,3.19979000
1737270151.756009,3.20030000
1737270151.756009,3.20030000
1737270153.074538,3.20110000
1737270153.074538,3.20131000
1737270155.006242,3.20186000
1737270163.720398,3.20236000
1737270164.877704,3.20236000
1737270171.132607,3.20236000
1737270174.095028,3.20237000
1737270174.095028,3.20401000
1737270174.166323,3.20399000
1737270174.166323,3.20400000
1737270179.431711,3.20432000
1737270180.998902,3.20432000
1737270182.001423,3.20432000
1737270192.122406,3.20430000
1737270192.122406,3.20430000
1737270194.291804,3.20388000
1737270194.291804,3.20342000
1737270194.291804,3.20288000
1737270194.291804,3.20239000
1737270195.744947,3.20291000
1737270206.720530,3.20286000
1737270206.720530,3.20285000
1737270208.358349,3.20360000
1737270208.358349,3.20444000
1737270208.358349,3.20460000
1737270209.743397,3.20339000
1737270211.107984,3.20354000
1737270218.481314,3.20340000
1737270218.481314,3.20339000
1737270218.646428,3.20379000
1737270220.871526,3.20339000
1737270231.890626,3.20395000
1737270231.890626,3.20394000
1737270239.929304,3.20360000
1737270239.929304,3.20359000
1737270243.829299,3.20339000
1737270245.859085,3.20285000
1737270246.182249,3.20121000
1737270246.784837,3.20036000
1737270246.784837,3.20106000
1737270247.913411,3.20009000
1737270247.913525,3.20008000
1737270247.913525,3.19988000
1737270250.471337,3.20018000
1737270254.110489,3.19989000
1737270254.110489,3.19988000
1737270254.601114,3.20013000
1737270266.650668,3.20040000
1737270266.650668,3.20064000
1737270267.511977,3.20063000
1737270269.989868,3.20063000
1737270277.601522,3.20089000
1737270277.601522,3.20090000
1737270277.601522,3.20091000
1737270281.941368,3.20074000
1737270283.519375,3.20061000
1737270288.272213,3.20056000
1737270288.876677,3.20073000
1737270296.026234,3.20065000
1737270298.151566,3.20063000
1737270298.151566,3.19980000
1737270298.661943,3.19993000
1737270299.605830,3.20046000
1737270304.294180,3.20178000
1737270304.500404,3.20178000
1737270308.068813,3.20168000
1737270308.888122,3.20177000
1737270310.984892,3.20071000
1737270314.389390,3.20003000
1737270314.389390,3.20002000
1737270314.572665,3.20020000
1737270315.554499,3.20018000
1737270317.455235,3.20000000
1737270321.173766,3.19923000
1737270321.173766,3.19923000
1737270321.173767,3.19862000
1737270322.913323,3.19923000
1737270322.913323,3.19878000
1737270324.135435,3.19924000
1737270330.555343,3.19924000
1737270335.807506,3.19924000
1737270355.333946,3.19924000
1737270358.404349,3.19924000
1737270363.074804,3.19964000
1737270363.074804,3.19964000
1737270379.578232,3.19900000
1737270381.498252,3.19901000
1737270381.778875,3.19901000
1737270393.466199,3.19901000
1737270395.170528,3.19901000
1737270401.833661,3.19900000
1737270413.348618,3.19900000
1737270413.355595,3.19900000
1737270413.359707,3.19900000
1737270413.359707,3.19900000
1737270414.148626,3.19601000
1737270414.804965,3.19610000
1737270416.275288,3.19630000
1737270416.275288,3.19620000
1737270416.275288,3.19601000
1737270419.780922,3.19611000
1737270420.232362,3.19610000
1737270420.232362,3.19610000
1737270428.326673,3.19500000
1737270428.326673,3.19500000
1737270428.766521,3.19500000
1737270432.880517,3.19500000
1737270443.681569,3.19501000
1737270443.681569,3.19501000
1737270443.681569,3.19501000
1737270443.681569,3.19501000
1737270452.021024,3.19500000
1737270472.719600,3.19500000
1737270475.254596,3.19501000
1737270475.254596,3.19501000
1737270475.254596,3.19501000
1737270477.033059,3.19501000
1737270478.564675,3.19501000
1737270483.381026,3.19500000
1737270483.463549,3.19500000
1737270483.463549,3.19500000
